split,label,image_name,relative_path,faiss_id
train,Alstonia Scholaris,0003_0011.JPG,train\Alstonia Scholaris\0003_0011.JPG,0
train,Alstonia Scholaris,0003_0012.JPG,train\Alstonia Scholaris\0003_0012.JPG,1
train,Alstonia Scholaris,0003_0013.JPG,train\Alstonia Scholaris\0003_0013.JPG,2
train,Alstonia Scholaris,0003_0014.JPG,train\Alstonia Scholaris\0003_0014.JPG,3
train,Alstonia Scholaris,0003_0015.JPG,train\Alstonia Scholaris\0003_0015.JPG,4
train,Alstonia Scholaris,0003_0016.JPG,train\Alstonia Scholaris\0003_0016.JPG,5
train,Alstonia Scholaris,0003_0017.JPG,train\Alstonia Scholaris\0003_0017.JPG,6
train,Alstonia Scholaris,0003_0018.JPG,train\Alstonia Scholaris\0003_0018.JPG,7
train,Alstonia Scholaris,0003_0019.JPG,train\Alstonia Scholaris\0003_0019.JPG,8
train,Alstonia Scholaris,0003_0020.JPG,train\Alstonia Scholaris\0003_0020.JPG,9
train,Alstonia Scholaris,0003_0021.JPG,train\Alstonia Scholaris\0003_0021.JPG,10
train,Alstonia Scholaris,0003_0022.JPG,train\Alstonia Scholaris\0003_0022.JPG,11
train,Alstonia Scholaris,0003_0023.JPG,train\Alstonia Scholaris\0003_0023.JPG,12
train,Alstonia Scholaris,0003_0024.JPG,train\Alstonia Scholaris\0003_0024.JPG,13
train,Alstonia Scholaris,0003_0025.JPG,train\Alstonia Scholaris\0003_0025.JPG,14
train,Alstonia Scholaris,0003_0026.JPG,train\Alstonia Scholaris\0003_0026.JPG,15
train,Alstonia Scholaris,0003_0027.JPG,train\Alstonia Scholaris\0003_0027.JPG,16
train,Alstonia Scholaris,0003_0028.JPG,train\Alstonia Scholaris\0003_0028.JPG,17
train,Alstonia Scholaris,0003_0029.JPG,train\Alstonia Scholaris\0003_0029.JPG,18
train,Alstonia Scholaris,0003_0030.JPG,train\Alstonia Scholaris\0003_0030.JPG,19
train,Alstonia Scholaris,0003_0031.JPG,train\Alstonia Scholaris\0003_0031.JPG,20
train,Alstonia Scholaris,0003_0032.JPG,train\Alstonia Scholaris\0003_0032.JPG,21
train,Alstonia Scholaris,0003_0033.JPG,train\Alstonia Scholaris\0003_0033.JPG,22
